t (s),Raw RPM,Filtered RPM,Torque,Power (W),N_Re,N_Po
94.09503102302551,583.453987,584.744373,0.0,0.0,43573.979631008086,0.0
94.10861039161682,583.819336,584.605617,0.0,0.0,43563.639811769375,0.0
94.12125968933105,574.632831,583.109699,0.0,0.0,43452.166998226516,0.0
94.1241385936737,584.467381,583.313352,0.0,0.0,43467.34281193852,0.0
94.16231179237366,575.032289,582.071192,0.0,0.0,43374.77953636434,0.0
94.16232776641846,584.293167,582.404488,0.0,0.0,43399.61608680533,0.0
94.2305691242218,585.447068,582.860875,0.0,0.0,43433.625132056724,0.0
94.2365517616272,573.75457,581.494929,0.0,0.0,43331.83757166397,0.0
94.24710297584534,590.781929,582.887979,0.0,0.0,43435.644867856594,0.0
94.26060557365417,580.875133,582.586052,0.0,0.0,43413.14587247412,0.0
94.26061797142029,582.817543,582.620776,0.0,0.0,43415.73343541371,0.0
94.27299571037292,582.499392,582.602568,0.0,0.0,43414.37661171817,0.0
94.2820725440979,612.62753,587.106313,0.0,0.0,43749.98666964215,0.0
94.29336071014404,583.403768,586.550931,0.0,0.0,43708.60071524422,0.0
94.30248975753784,575.260608,584.857382,0.0,0.0,43582.40083536933,0.0
94.3279881477356,584.528272,584.808016,0.0,0.0,43578.72217991271,0.0
94.37983798980713,578.761277,583.901005,0.0,0.0,43511.13353662859,0.0
94.39069747924805,617.45847,588.934625,0.0,0.0,43886.22881839238,0.0
94.40160608291626,574.185934,586.722321,0.0,0.0,43721.37235480808,0.0
94.4293782711029,590.591943,587.302764,0.0,0.0,43764.625804737334,0.0
94.43002510070801,569.268415,584.597612,0.0,0.0,43563.043295200674,0.0
94.4325635433197,590.664812,585.507692,0.0,0.0,43630.86063421863,0.0
94.44274663925171,582.139798,585.002508,0.0,0.0,43593.215334251094,0.0
94.45686626434326,580.858559,584.380916,0.0,0.0,43546.89554324937,0.0
94.47245955467224,582.126244,584.042715,0.0,0.0,43521.69348203144,0.0
94.47627592086792,582.188787,583.764626,0.0,0.0,43500.97084666953,0.0
94.54337525367737,582.33293,583.549871,0.0,0.0,43484.967734151076,0.0
94.55691123008728,625.716234,589.874826,0.0,0.0,43956.290714008195,0.0
94.56827402114868,574.477089,587.565165,0.0,0.0,43784.17940175699,0.0
94.57424187660217,583.854974,587.008636,0.0,0.0,43742.70797521611,0.0
94.5878963470459,582.914686,586.394544,0.0,0.0,43696.947069194415,0.0
94.59514689445496,581.919084,585.723225,0.0,0.0,43646.921721739025,0.0
94.61581325531006,583.034821,585.319964,0.0,0.0,43616.871519614244,0.0
94.62705779075623,582.449281,584.889362,0.0,0.0,43584.78392092423,0.0
94.62745642662048,579.705728,584.111817,0.0,0.0,43526.84282468353,0.0
94.63878178596497,582.596372,583.8845,0.0,0.0,43509.903617082506,0.0
94.71586585044861,585.602806,584.142246,0.0,0.0,43529.11033282455,0.0
94.72481942176819,574.888876,582.75424,0.0,0.0,43425.67890541052,0.0
94.73439908027649,574.469908,581.511591,0.0,0.0,43333.079190535624,0.0
94.74296307563782,584.034191,581.889981,0.0,0.0,43361.27605554861,0.0
94.75356197357178,574.746252,580.818421,0.0,0.0,43281.42555032039,0.0
94.76575112342834,583.345256,581.197447,0.0,0.0,43309.66980877968,0.0
94.77880883216858,583.563832,581.552404,0.0,0.0,43336.12049356102,0.0
94.78895115852356,583.243199,581.806024,0.0,0.0,43355.01974804604,0.0
94.8014543056488,612.228577,586.369407,0.0,0.0,43695.073910295316,0.0
