t (s),RPM,Torque,Power (W),N_Re,N_Po
44.376378536224365,600.897534,0.0,0.0,44777.68083941697,0.0
44.47902727127075,601.25501,0.0,0.0,44804.3192350336,0.0
44.58222842216492,598.001139,0.0,0.0,44561.847284515265,0.0
44.68549919128418,597.239253,0.0,0.0,44505.07306559491,0.0
44.78811526298523,600.317962,0.0,0.0,44734.4922946634,0.0
44.891425132751465,600.559422,0.0,0.0,44752.48541030081,0.0
44.99465370178223,600.278387,0.0,0.0,44731.543244918736,0.0
45.097187519073486,599.390718,0.0,0.0,44665.395928739126,0.0
45.20045852661133,600.223991,0.0,0.0,44727.4897639355,0.0
45.397175788879395,602.357277,0.0,0.0,44886.45796440609,0.0
45.49975848197937,598.719704,0.0,0.0,44615.39330927293,0.0
45.603017807006836,598.894727,0.0,0.0,44628.43567272113,0.0
45.70544099807739,600.230675,0.0,0.0,44727.98784222972,0.0
45.80876040458679,600.633207,0.0,0.0,44757.98372073444,0.0
45.91147780418396,601.879258,0.0,0.0,44850.83694583627,0.0
46.01480484008789,604.400625,0.0,0.0,45038.724165232044,0.0
46.117544174194336,604.3523,0.0,0.0,45035.12308301066,0.0
46.2209632396698,604.590171,0.0,0.0,45052.8487535556,0.0
46.32347226142883,602.642602,0.0,0.0,44907.71981199675,0.0
46.526949405670166,602.733184,0.0,0.0,44914.46980123168,0.0
46.62975597381592,603.885591,0.0,0.0,45000.34486299073,0.0
46.73312425613403,599.998314,0.0,0.0,44710.672765850104,0.0
46.83627128601074,599.439464,0.0,0.0,44669.028383037396,0.0
46.939478158950806,601.53708,0.0,0.0,44825.33852654292,0.0
47.0425009727478,604.045964,0.0,0.0,45012.29553777792,0.0
47.1456081867218,600.633398,0.0,0.0,44757.99795367193,0.0
47.24823498725891,602.621858,0.0,0.0,44906.174010659946,0.0
47.3515362739563,602.906829,0.0,0.0,44927.40947887955,0.0
47.45469927787781,602.696606,0.0,0.0,44911.744081925026,0.0
47.65465259552002,606.273362,0.0,0.0,45178.27677601404,0.0
47.75763249397278,604.401327,0.0,0.0,45038.77647686618,0.0
47.860678911209106,605.595274,0.0,0.0,45127.747016234665,0.0
47.963074922561646,606.420865,0.0,0.0,45189.268404175484,0.0
48.06594133377075,605.573846,0.0,0.0,45126.1502445877,0.0
48.169227600097656,605.23954,0.0,0.0,45101.2384309694,0.0
48.271950483322144,605.209014,0.0,0.0,45098.96369458264,0.0
48.37507772445679,599.756023,0.0,0.0,44692.61772575692,0.0
48.47842597961426,598.396769,0.0,0.0,44591.32883980236,0.0
48.58113503456116,598.918689,0.0,0.0,44630.22127297335,0.0
48.783607721328735,591.805634,0.0,0.0,44100.17065941365,0.0
48.884812355041504,591.71338,0.0,0.0,44093.296076087165,0.0
48.98599410057068,592.895659,0.0,0.0,44181.397139462715,0.0
49.087263345718384,603.139384,0.0,0.0,44944.73901175063,0.0
49.188560485839844,599.507638,0.0,0.0,44674.10857298797,0.0
49.28970980644226,600.770431,0.0,0.0,44768.20937840124,0.0
49.39091658592224,601.747992,0.0,0.0,44841.055266397605,0.0
49.49200177192688,602.481771,0.0,0.0,44895.73500796678,0.0
49.59295344352722,602.312571,0.0,0.0,44883.12656281708,0.0
49.69443893432617,595.987981,0.0,0.0,44411.830782028985,0.0
49.86170434951782,595.762623,0.0,0.0,44395.03755518473,0.0
49.96290063858032,594.648674,0.0,0.0,44312.028306567336,0.0
50.0642204284668,601.85523,0.0,0.0,44849.04642739622,0.0
50.165454149246216,597.596958,0.0,0.0,44531.728525832936,0.0
50.26666021347046,592.274452,0.0,0.0,44135.10603788996,0.0
50.3678023815155,593.945256,0.0,0.0,44259.61100591537,0.0
50.46904492378235,597.792116,0.0,0.0,44546.27130915755,0.0
50.57012891769409,600.071305,0.0,0.0,44716.111908993866,0.0
50.67132639884949,601.545821,0.0,0.0,44825.98988835766,0.0
50.77244234085083,601.959085,0.0,0.0,44856.785494009804,0.0
