Sampling Window (ms),PWM (%),Comparison,Mean RPM Difference,SD Difference (RPM),CV Difference (%),Revolution Difference
20,90,192 PPR - 96 PPR,10.287671888750083,2.7047137488745037,0.11307027283689042,1
20,90,200 PPR - 96 PPR,7.727075532500294,3.946751490399034,0.1684615898719235,-1
20,90,250 PPR - 96 PPR,6.371718461250111,31.116410466104057,1.3535505854909986,-3
20,90,256 PPR - 96 PPR,16.85612955375018,215.14039834141673,9.328150817443138,0
20,90,125 PPR - 100 PPR,1.5140385887502816,-2.500476310666972,-0.10927593220067677,0
20,90,192 PPR - 100 PPR,-2.4450352475000727,3.705004202736699,0.162281717400112,0
20,90,200 PPR - 100 PPR,-5.005631603749862,4.94704194426123,0.21767303443514507,-2
20,90,250 PPR - 100 PPR,-6.360988675000044,32.11670091996625,1.40276203005422,-4
20,90,256 PPR - 100 PPR,4.123422417500024,216.14068879527892,9.37736226200636,-1
20,90,192 PPR - 125 PPR,-3.9590738362503544,6.205480513403671,0.27155764960078876,0
20,90,200 PPR - 125 PPR,-6.5196701925001435,7.447518254928202,0.32694896663582185,-2
20,90,250 PPR - 125 PPR,-7.875027263750326,34.617177230633224,1.512037962254897,-4
20,90,256 PPR - 125 PPR,2.609383828749742,218.6411651059459,9.486638194207035,-1
20,90,200 PPR - 192 PPR,-2.560596356249789,1.2420377415245305,0.05539131703503308,-2
20,90,250 PPR - 192 PPR,-3.9159534274999714,28.411696717229553,1.2404803126541082,-4
20,90,256 PPR - 192 PPR,6.568457665000096,212.43568459254223,9.215080544606247,-1
20,90,250 PPR - 200 PPR,-1.3553570712501823,27.169658975705023,1.185088995619075,-2
20,90,256 PPR - 200 PPR,9.129054021249885,211.1936468510177,9.159689227571214,1
20,90,256 PPR - 250 PPR,10.484411092500068,184.02398787531268,7.974600231952138,3
