PPR,PWM (%),Settled Interval,Mean RPM (10 ms),Mean RPM (20 ms),Mean RPM Difference (20-10),Standard Deviation (RPM) (10 ms),Standard Deviation (RPM) (20 ms),Standard Deviation (RPM) Difference (20-10),Coefficient of Variation (%) (10 ms),Coefficient of Variation (%) (20 ms),Coefficient of Variation (%) Difference (20-10),Filtered SD (RPM) (10 ms),Filtered SD (RPM) (20 ms),Filtered SD (RPM) Difference (20-10),Revolution Increment (10 ms),Revolution Increment (20 ms),Revolution Increment Difference (20-10)
200,90,90+1 to 90+9 s,2293.28462208875,2295.35748399875,2.0728619100000287,39.518076013092596,27.617967334015095,-11.900108679077501,1.7232085207591494,1.203209849731195,-0.5199986710279545,9.223763791331095,8.203328166804729,-1.0204356245263657,304,306,2
250,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
250,10,10+1 to 10+9 s,212.77763033374998,213.54644045625,0.7688101225000139,21.98963231622023,22.046508624422504,0.05687630820227341,10.334560208104882,10.323987876978567,-0.010572331126315504,12.2051442534056,12.199191404906719,-0.00595284849888067,28,29,1
250,20,20+1 to 20+9 s,477.02081350875,481.05115198,4.030338471249991,15.718882504717035,12.859364333171428,-2.8595181715456075,3.295219424304785,2.673180238783851,-0.6220391855209342,4.433993442208918,4.136075422002098,-0.29791802020681946,64,64,0
250,30,30+1 to 30+9 s,736.9807344400001,741.9734925124999,4.992758072499782,12.307262258473202,8.59310460811367,-3.7141576503595317,1.6699571214470021,1.1581417253890514,-0.5118153960579508,3.1710185319211237,2.744624809307887,-0.4263937226132368,98,99,1
250,40,40+1 to 40+9 s,995.7798117924999,1001.29400091125,5.514189118750096,16.17339043609733,11.310844559674956,-4.862545876422372,1.6241934456357034,1.129622723134391,-0.4945707225013125,4.343802230147026,3.313954626696007,-1.0298476034510191,132,133,1
250,50,50+1 to 50+9 s,1252.5658302675,1258.4246414937502,5.858811226250282,23.03535349596831,16.209350313345244,-6.826003182623065,1.8390533207383473,1.2880668240972095,-0.5509864966411377,5.495965551089857,4.486621257037061,-1.009344294052796,166,167,1
250,60,60+1 to 60+9 s,1514.0040915837499,1519.4754009212502,5.4713093375003155,25.36747313801569,18.140020845269966,-7.227452292745724,1.6755220992487287,1.1938344532772143,-0.4816876459715145,5.887582971254312,4.898111193478246,-0.9894717777760658,200,202,2
250,70,70+1 to 70+9 s,1774.225255175,1778.06737441,3.8421192349999274,29.544008350924138,20.474450657345226,-9.069557693578911,1.6651779848557096,1.1515002722626908,-0.5136777125930188,6.747552496742732,5.54032361938805,-1.207228877354682,235,235,0
250,80,80+1 to 80+9 s,2033.6702828300001,2036.66960546,2.999322629999824,31.28693133117659,23.80692074065827,-7.480010590518319,1.5384466004803172,1.1689142253036797,-0.3695323751766375,7.708946320561678,6.591196183911586,-1.1177501366500922,269,270,1
250,90,90+1 to 90+9 s,2290.78098699125,2294.0021269275,3.2211399362499833,36.30070592866927,54.78762630972012,18.48692038105085,1.5846432345480228,2.38829884535027,0.8036556108022472,8.523343204827189,15.06714102612461,6.543797821297421,303,304,1
256,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
256,10,10+1 to 10+9 s,219.189791765,217.8229013775,-1.366890387500007,14.698877121021804,15.935737777526626,1.2368606565048221,6.70600441866422,7.315914753109016,0.6099103344447965,7.813014615341019,8.569092736632303,0.7560781212912842,30,29,-1
256,20,20+1 to 20+9 s,482.58456979249996,483.68042598,1.0958561875000328,11.522337062756565,10.205544139642576,-1.3167929231139883,2.3876306421713607,2.1099766687818313,-0.27765397338952935,3.194274315242844,3.3340426565958907,0.13976834135304683,64,65,1
256,30,30+1 to 30+9 s,742.3744829937501,745.1470272212499,2.772544227499793,11.762018450317251,7.609370356305311,-4.152648094011941,1.5843780625224255,1.0211904601809447,-0.5631876023414808,3.0510173994374865,2.6355049434680224,-0.41551245596946407,99,99,0
256,40,40+1 to 40+9 s,1003.2518970925,1006.7754836425,3.5235865500000045,17.729519557281204,11.458687558312327,-6.270831998968877,1.7672051863208724,1.1381571904050496,-0.6290479959158228,4.6287127916295505,3.5517054089632905,-1.07700738266626,134,134,0
256,50,50+1 to 50+9 s,1262.49481831,1267.04243816,4.547619850000046,20.149097451936207,15.924853481659424,-4.224243970276783,1.5959746653778886,1.2568524148871847,-0.3391222504907039,4.736095043641918,4.288995987371304,-0.4470990562706145,168,169,1
256,60,60+1 to 60+9 s,1522.71103416,1527.2702598287499,4.559225668749832,23.550968980819537,18.28771718866642,-5.263251792153117,1.5466472923939487,1.1974119885446464,-0.34923530384930235,5.795706721428397,4.948418237352726,-0.8472884840756709,203,203,0
256,70,70+1 to 70+9 s,1781.2035269712499,1787.8173717312502,6.613844760000347,29.52740869469741,20.056737802253114,-9.470670892444296,1.6577223347915597,1.1218560754240225,-0.5358662593675372,6.925649765013564,5.719807564112427,-1.2058422009011371,237,238,1
256,80,80+1 to 80+9 s,2040.24857723875,2047.22399901625,6.97542177750006,36.23776524942396,23.35978958733819,-12.877975662085767,1.7761446155971714,1.1410470763611231,-0.6350975392360483,8.908794857607985,6.370848636129434,-2.537946221478551,271,272,1
256,90,90+1 to 90+9 s,2295.5478097937503,2304.48653802,8.938728226249623,337.9181489666165,238.8116141850328,-99.10653478158372,14.720588590005349,10.362899077302409,-4.35768951270294,87.39347951357622,55.10430685425309,-32.289172659323135,306,307,1
