PPR,Sampling Window (ms),PWM (%),Settled Interval,Samples,Mean RPM,Median RPM,Standard Deviation (RPM),Coefficient of Variation (%),Minimum RPM,Maximum RPM,Filtered Mean RPM,Filtered SD (RPM),Revolution Increment,File
192,10,30,30+1 to 30+9 s,800,747.214904565,747.151674,13.285463453431277,1.777997651313656,679.680703,803.330971,747.2640221112501,3.249235676584673,99,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,40,40+1 to 40+9 s,800,1008.5533361475001,1006.726651,14.274458343881777,1.4153399559816784,906.042879,1056.109711,1008.5922894975,3.4379244624217393,135,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,50,50+1 to 50+9 s,800,1266.87063658375,1265.389764,17.405664137368063,1.3739101400522054,1179.614482,1328.111586,1266.90396206125,4.60734063834634,169,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,60,60+1 to 60+9 s,800,1526.8246776425,1525.399303,25.608158468299763,1.6772166996829097,1406.596147,1622.938966,1526.6729754862497,6.1199993644442285,202,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,70,70+1 to 70+9 s,800,1783.85029878125,1781.116594,30.318746037670927,1.699623901085483,1609.039998,1884.653382,1783.70777162875,7.365612288217645,236,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,80,80+1 to 80+9 s,800,2042.7223726587501,2039.956557,34.75040975602093,1.7011812383878073,1874.363279,2154.456948,2042.61556584,8.539251369154924,269,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,90,90+1 to 90+9 s,800,2298.047712785,2296.243763,37.13509542021917,1.615941009998231,2156.152326,2425.568029,2297.957469855,8.62687672956176,306,mixr1_log_20260902_143435_192ppr_10ms.csv
192,20,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,10,10+1 to 10+9 s,800,221.41658322625,222.50050850000002,16.42271909086239,7.41711341199822,189.768922,257.529475,221.61073113749998,8.721012478808058,29,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,20,20+1 to 20+9 s,800,487.98944110375,487.768957,8.988151337789013,1.8418741433132915,464.810632,519.766765,487.9616854225,3.079913989729694,65,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,30,30+1 to 30+9 s,800,749.1376092375,749.243626,7.744423399637903,1.0337784813020485,728.762981,792.968076,749.18501176625,2.782073615006325,100,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,40,40+1 to 40+9 s,800,1009.8995459449999,1006.517233,13.432283879168196,1.3300613841349058,958.528532,1047.790672,1009.86001284125,3.8248349297097857,134,mixr1_log_20260902_143640_192ppr_20ms.csv
